LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,2,3,15.6,0,1,Alpine,22/10/2021,23/10/2021
Ararat (RC),VIC220,11845,0,17,0,0,0,Ararat,22/10/2021,23/10/2021
Ballarat (C),VIC241,109505,62,187,56.6,5,3,Ballarat,22/10/2021,23/10/2021
Banyule (C),VIC188,131631,324,1287,246.1,19,5,Banyule,22/10/2021,23/10/2021
Bass Coast (S),VIC173,36320,30,57,82.6,3,3,Bass Coast,22/10/2021,23/10/2021
Baw Baw (S),VIC194,53396,200,328,374.6,17,5,Baw Baw,22/10/2021,23/10/2021
Bayside (C),VIC182,106862,167,626,156.3,8,4,Bayside,22/10/2021,23/10/2021
Benalla (RC),VIC199,14037,12,21,85.5,2,3,Benalla,22/10/2021,23/10/2021
Boroondara (C),VIC201,183199,144,627,78.6,4,3,Boroondara,22/10/2021,23/10/2021
Brimbank (C),VIC189,209523,1574,5419,751.2,90,6,Brimbank,22/10/2021,23/10/2021
Buloke (S),VIC183,6124,0,0,0,0,0,Buloke,22/10/2021,23/10/2021
Campaspe (S),VIC239,37622,16,33,42.5,4,2,Campaspe,22/10/2021,23/10/2021
Cardinia (S),VIC212,112159,424,1073,378,32,5,Cardinia,22/10/2021,23/10/2021
Casey (C),VIC213,353872,2346,5088,663,165,6,Casey,22/10/2021,23/10/2021
Central Goldfields (S),VIC169,13186,0,2,0,0,0,Central Goldfields,22/10/2021,23/10/2021
Colac-Otway (S),VIC224,21564,8,177,37.1,0,2,Colac-Otway,22/10/2021,23/10/2021
Corangamite (S),VIC231,16020,4,13,25,1,2,Corangamite,22/10/2021,23/10/2021
Darebin (C),VIC205,164184,680,2401,414.2,47,5,Darebin,22/10/2021,23/10/2021
East Gippsland (S),VIC243,47316,16,30,33.8,4,2,East Gippsland,22/10/2021,23/10/2021
Frankston (C),VIC227,142643,476,1000,333.7,46,5,Frankston,22/10/2021,23/10/2021
Gannawarra (S),VIC214,10472,5,15,47.7,0,2,Gannawarra,22/10/2021,23/10/2021
Glen Eira (C),VIC177,156511,339,889,216.6,21,5,Glen Eira,22/10/2021,23/10/2021
Glenelg (S),VIC223,19674,2,23,10.2,0,1,Glenelg,22/10/2021,23/10/2021
Golden Plains (S),VIC230,23722,10,32,42.2,2,2,Golden Plains,22/10/2021,23/10/2021
Greater Bendigo (C),VIC193,118093,170,296,144,19,4,Greater Bendigo,22/10/2021,23/10/2021
Greater Dandenong (C),VIC247,168201,1625,3013,966.1,129,6,Greater Dandenong,22/10/2021,23/10/2021
Greater Geelong (C),VIC215,258934,250,823,96.5,26,3,Greater Geelong,22/10/2021,23/10/2021
Greater Shepparton (C),VIC93,66498,248,591,372.9,20,5,Greater Shepparton,22/10/2021,23/10/2021
Hepburn (S),VIC94,15975,3,10,18.8,0,1,Hepburn,22/10/2021,23/10/2021
Hindmarsh (S),VIC152,5588,1,1,17.9,0,1,Hindmarsh,22/10/2021,23/10/2021
Hobsons Bay (C),VIC235,97751,353,1799,361.1,39,5,Hobsons Bay,22/10/2021,23/10/2021
Horsham (RC),VIC153,19921,1,16,5,0,1,Horsham,22/10/2021,23/10/2021
Hume (C),VIC198,233471,2152,11698,921.7,121,6,Hume,22/10/2021,23/10/2021
Indigo (S),VIC191,16701,4,6,24,1,2,Indigo,22/10/2021,23/10/2021
Interstate,,,17,144,0,3,0,,22/10/2021,23/10/2021
Kingston (C),VIC226,165782,422,1033,254.6,18,5,Kingston,22/10/2021,23/10/2021
Knox (C),VIC209,164538,308,829,187.2,25,4,Knox,22/10/2021,23/10/2021
Latrobe (C),VIC219,75561,283,481,374.5,40,5,Latrobe,22/10/2021,23/10/2021
Loddon (S),VIC185,7504,0,3,0,0,0,Loddon,22/10/2021,23/10/2021
Macedon Ranges (S),VIC228,50231,36,175,71.7,5,3,Macedon Ranges,22/10/2021,23/10/2021
Manningham (C),VIC195,127573,187,697,146.6,8,4,Manningham,22/10/2021,23/10/2021
Mansfield (S),VIC244,9176,0,10,0,0,0,Mansfield,22/10/2021,23/10/2021
Maribyrnong (C),VIC234,93448,392,1494,419.5,28,5,Maribyrnong,22/10/2021,23/10/2021
Maroondah (C),VIC207,118558,170,535,143.4,18,4,Maroondah,22/10/2021,23/10/2021
Melbourne (C),VIC132,178955,543,2221,303.4,62,5,Melbourne,22/10/2021,23/10/2021
Melton (C),VIC237,164895,1547,4432,938.2,134,6,Melton,22/10/2021,23/10/2021
Mildura (RC),VIC222,55777,204,291,365.7,10,5,Mildura,22/10/2021,23/10/2021
Mitchell (S),VIC211,46082,150,447,325.5,20,5,Mitchell,22/10/2021,23/10/2021
Moira (S),VIC190,29925,11,22,36.8,3,2,Moira,22/10/2021,23/10/2021
Monash (C),VIC210,202847,377,1126,185.9,18,4,Monash,22/10/2021,23/10/2021
Moonee Valley (C),VIC121,130294,464,2110,356.1,52,5,Moonee Valley,22/10/2021,23/10/2021
Moorabool (S),VIC236,35049,63,189,179.7,4,4,Moorabool,22/10/2021,23/10/2021
Moreland (C),VIC131,185767,905,4443,487.2,55,5,Moreland,22/10/2021,23/10/2021
Mornington Peninsula (S),VIC204,167636,261,627,155.7,23,4,Mornington Peninsula,22/10/2021,23/10/2021
Mount Alexander (S),VIC105,19754,4,33,20.2,2,2,Mount Alexander,22/10/2021,23/10/2021
Moyne (S),VIC229,16953,9,16,53.1,2,3,Moyne,22/10/2021,23/10/2021
Murrindindi (S),VIC250,14570,19,38,130.4,2,4,Murrindindi,22/10/2021,23/10/2021
Nillumbik (S),VIC216,65094,110,361,169,8,4,Nillumbik,22/10/2021,23/10/2021
Northern Grampians (S),VIC166,11402,0,5,0,0,0,Northern Grampians,22/10/2021,23/10/2021
Other,,,1,2,0,0,0,,22/10/2021,23/10/2021
Overseas,,,1,7,0,0,0,,22/10/2021,23/10/2021
Overseas Traveller,,,10,250,0,2,0,,22/10/2021,23/10/2021
Port Phillip (C),VIC208,115601,329,1131,284.6,15,5,Port Phillip,22/10/2021,23/10/2021
Pyrenees (S),VIC217,7472,2,9,26.8,0,2,Pyrenees,22/10/2021,23/10/2021
Queenscliffe (B),VIC238,2940,1,2,34,0,2,Queenscliffe,22/10/2021,23/10/2021
South Gippsland (S),VIC178,29914,15,44,50.1,0,3,South Gippsland,22/10/2021,23/10/2021
Southern Grampians (S),VIC233,16100,1,3,6.2,0,1,Southern Grampians,22/10/2021,23/10/2021
Stonnington (C),VIC203,117768,184,693,156.2,9,4,Stonnington,22/10/2021,23/10/2021
Strathbogie (S),VIC110,10781,12,19,111.3,3,4,Strathbogie,22/10/2021,23/10/2021
Surf Coast (S),VIC225,33456,14,39,41.8,3,2,Surf Coast,22/10/2021,23/10/2021
Swan Hill (RC),VIC180,20649,59,66,285.7,18,5,Swan Hill,22/10/2021,23/10/2021
Towong (S),VIC187,6040,6,6,99.3,0,3,Towong,22/10/2021,23/10/2021
Unknown,,,72,287,0,1,0,,22/10/2021,23/10/2021
Wangaratta (RC),VIC186,29187,35,43,119.9,11,4,Wangaratta,22/10/2021,23/10/2021
Warrnambool (C),VIC179,35181,2,35,5.7,0,1,Warrnambool,22/10/2021,23/10/2021
Wellington (S),VIC218,44380,15,39,33.8,2,2,Wellington,22/10/2021,23/10/2021
West Wimmera (S),VIC232,3841,0,1,0,0,0,West Wimmera,22/10/2021,23/10/2021
Whitehorse (C),VIC196,178739,178,556,99.6,6,3,Whitehorse,22/10/2021,23/10/2021
Whittlesea (C),VIC197,230238,1750,5957,760.1,124,6,Whittlesea,22/10/2021,23/10/2021
Wodonga (C),VIC192,42083,63,75,149.7,21,4,Wodonga,22/10/2021,23/10/2021
Wyndham (C),VIC221,270487,1799,6427,665.1,131,6,Wyndham,22/10/2021,23/10/2021
Yarra (C),VIC202,101495,269,1155,265,18,5,Yarra,22/10/2021,23/10/2021
Yarra Ranges (S),VIC206,159462,216,675,135.5,21,4,Yarra Ranges,22/10/2021,23/10/2021
Yarriambiack (S),VIC200,6639,0,2,0,0,0,Yarriambiack,22/10/2021,23/10/2021